id,category,tool_stack,workflow_title,workflow_steps,prompts,output_format,safety_note
WF-063,Writing,Notion-type workspace + calendar reminders,"De-risk ""celebrate micro wins"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: celebrate micro wins. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-064,Projects,Grammarly-type writing assistant,"Package ""NDA vague alert"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: NDA vague alert. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-065,Coding,Zotero-type citation manager + library database,"Rehearse ""elevator pitch 20s"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: elevator pitch 20s. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-066,Slides,Anki-type spaced repetition decks,"Map ""API error decoding"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: API error decoding. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-067,Revision,Cursor/Copilot-type coding assistant + official docs tab,"Speed-run ""email to professor"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: email to professor. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-068,Collaboration,Canva-type slides + exported PNG charts you label,"Stabilise ""diagram labels"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: diagram labels. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-069,Study,Workspace board + messaging app for group sync,"De-risk ""flashcard tagging"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: flashcard tagging. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-070,Research,ChatGPT-type assistant + textbook PDF,"Package ""question bank hygiene"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: question bank hygiene. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-071,Writing,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Rehearse ""lint fix triage"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: lint fix triage. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-072,Projects,NotebookLM-type grounded notebook + syllabus,"Map ""SQL explain plan read"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: SQL explain plan read. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-073,Coding,Notion-type workspace + calendar reminders,"Speed-run ""dataset license read"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: dataset license read. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-074,Slides,Grammarly-type writing assistant,"Stabilise ""pomodoro batching"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: pomodoro batching. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-075,Revision,Zotero-type citation manager + library database,"De-risk ""offer comparison matrix"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: offer comparison matrix. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-076,Collaboration,Anki-type spaced repetition decks,"Package ""ethics board basics"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: ethics board basics. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-077,Study,Cursor/Copilot-type coding assistant + official docs tab,"Rehearse ""notation sheet"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: notation sheet. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-078,Research,Canva-type slides + exported PNG charts you label,"Map ""wrong-answer tagging"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: wrong-answer tagging. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-079,Writing,Workspace board + messaging app for group sync,"Speed-run ""conflict escalate doc"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: conflict escalate doc. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-080,Projects,ChatGPT-type assistant + textbook PDF,"Stabilise ""DP state practice"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: DP state practice. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-081,Coding,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"De-risk ""log reading skill"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: log reading skill. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-082,Slides,NotebookLM-type grounded notebook + syllabus,"Package ""seed data realism"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: seed data realism. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-083,Revision,Notion-type workspace + calendar reminders,"Rehearse ""README badges honest"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: README badges honest. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-084,Collaboration,Grammarly-type writing assistant,"Map ""architecture diagram MVP"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: architecture diagram MVP. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-085,Study,Zotero-type citation manager + library database,"Speed-run ""load test toy plan"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: load test toy plan. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-086,Research,Anki-type spaced repetition decks,"Stabilise ""mocking pitfalls"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: mocking pitfalls. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-087,Writing,Cursor/Copilot-type coding assistant + official docs tab,"De-risk ""i18n string respect"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: i18n string respect. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-088,Projects,Canva-type slides + exported PNG charts you label,"Package ""microcopy tone shift"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: microcopy tone shift. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-089,Coding,Workspace board + messaging app for group sync,"Rehearse ""offline mode fairy tale"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: offline mode fairy tale. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-090,Slides,ChatGPT-type assistant + textbook PDF,"Map ""supply chain folklore"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: supply chain folklore. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-091,Revision,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Speed-run ""confidence rating grid"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: confidence rating grid. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-092,Collaboration,NotebookLM-type grounded notebook + syllabus,"Stabilise ""distraction blocker ethics"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: distraction blocker ethics. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-093,Study,Notion-type workspace + calendar reminders,"De-risk ""evening decompress"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: evening decompress. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-094,Research,Grammarly-type writing assistant,"Package ""noise cancelling courtesy"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: noise cancelling courtesy. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-095,Writing,Zotero-type citation manager + library database,"Rehearse ""rec letter ask polite"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: rec letter ask polite. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-096,Projects,Anki-type spaced repetition decks,"Map ""counselling stigma break"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: counselling stigma break. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-097,Coding,Cursor/Copilot-type coding assistant + official docs tab,"Speed-run ""open source etiquette"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: open source etiquette. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-098,Slides,Canva-type slides + exported PNG charts you label,"Stabilise ""lab report outline"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: lab report outline. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-099,Revision,Workspace board + messaging app for group sync,"De-risk ""portfolio README"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: portfolio README. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-100,Collaboration,ChatGPT-type assistant + textbook PDF,"Package ""mind-map from PDF"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: mind-map from PDF. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-101,Study,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Rehearse ""citation sanity"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: citation sanity. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-102,Research,NotebookLM-type grounded notebook + syllabus,"Map ""documentation TOC"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: documentation TOC. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-103,Writing,Notion-type workspace + calendar reminders,"Speed-run ""rubric alignment"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: rubric alignment. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-104,Projects,Grammarly-type writing assistant,"Stabilise ""release notes draft"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: release notes draft. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-105,Coding,Zotero-type citation manager + library database,"De-risk ""mobile UI copy trim"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: mobile UI copy trim. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-106,Slides,Anki-type spaced repetition decks,"Package ""thumbnail A/B text"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: thumbnail A/B text. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-107,Revision,Cursor/Copilot-type coding assistant + official docs tab,"Rehearse ""LinkedIn about draft"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: LinkedIn about draft. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-108,Collaboration,Canva-type slides + exported PNG charts you label,"Map ""DOI hunt"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: DOI hunt. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-109,Study,Workspace board + messaging app for group sync,"Speed-run ""quote vs paraphrase"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: quote vs paraphrase. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-110,Research,ChatGPT-type assistant + textbook PDF,"Stabilise ""algorithm walkthrough"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: algorithm walkthrough. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-111,Writing,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"De-risk ""post-exam recap"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: post-exam recap. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-112,Projects,NotebookLM-type grounded notebook + syllabus,"Package ""version naming"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: version naming. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-113,Coding,Notion-type workspace + calendar reminders,"Rehearse ""NoSQL vs SQL pick"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: NoSQL vs SQL pick. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-114,Slides,Grammarly-type writing assistant,"Map ""git conflict story"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: git conflict story. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-115,Revision,Zotero-type citation manager + library database,"Speed-run ""cookie vs token student"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: cookie vs token student. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-116,Collaboration,Anki-type spaced repetition decks,"Stabilise ""issue template tidy"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: issue template tidy. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-117,Study,Cursor/Copilot-type coding assistant + official docs tab,"De-risk ""state machine story"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: state machine story. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-118,Research,Canva-type slides + exported PNG charts you label,"Package ""on-call panic reduce"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: on-call panic reduce. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-119,Writing,Workspace board + messaging app for group sync,"Rehearse ""e2e flake triage"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: e2e flake triage. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-120,Projects,ChatGPT-type assistant + textbook PDF,"Map ""image compression story"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: image compression story. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-121,Coding,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Speed-run ""form validation UX"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: form validation UX. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-122,Slides,NotebookLM-type grounded notebook + syllabus,"Stabilise ""secret rotation story"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: secret rotation story. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-123,Revision,Notion-type workspace + calendar reminders,"De-risk ""rubber duck formalised"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: rubber duck formalised. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-124,Collaboration,Grammarly-type writing assistant,"Package ""Friday ship note"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: Friday ship note. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
